Iteration,Mean,Stdev,Run-0,Run-1,Run-2,Run-3,Run-4
0,7.652000000000001,0.5725172486484454,6.78,8.36,7.42,7.5,8.2
1,7.728,0.7920202017625568,6.8,8.6,8.74,7.12,7.38
2,7.540000000000001,0.6315694736131499,6.94,7.66,8.64,6.9,7.56
3,7.476000000000001,0.5389471217104699,6.96,7.62,8.46,7.24,7.1
4,7.5280000000000005,0.568309774682778,6.6,7.68,8.38,7.46,7.52
5,7.4799999999999995,0.6198064213930035,6.44,7.76,8.34,7.34,7.52
6,7.5280000000000005,0.6403249175223401,6.52,7.76,8.5,7.34,7.52
7,7.5280000000000005,0.6526990117963946,6.5,7.76,8.52,7.34,7.52
8,7.484,0.6253830825981772,6.44,7.76,8.36,7.34,7.52
9,7.447999999999999,0.6866265360441661,6.26,7.76,8.36,7.34,7.52
10,7.447999999999999,0.6866265360441661,6.26,7.76,8.36,7.34,7.52
11,7.447999999999999,0.6866265360441661,6.26,7.76,8.36,7.34,7.52
12,7.447999999999999,0.6866265360441661,6.26,7.76,8.36,7.34,7.52
13,7.447999999999999,0.6866265360441661,6.26,7.76,8.36,7.34,7.52
14,7.447999999999999,0.6866265360441661,6.26,7.76,8.36,7.34,7.52
15,7.447999999999999,0.6866265360441661,6.26,7.76,8.36,7.34,7.52
16,7.447999999999999,0.6866265360441661,6.26,7.76,8.36,7.34,7.52
17,7.447999999999999,0.6866265360441661,6.26,7.76,8.36,7.34,7.52
18,7.447999999999999,0.6866265360441661,6.26,7.76,8.36,7.34,7.52
19,7.447999999999999,0.6866265360441661,6.26,7.76,8.36,7.34,7.52
20,7.447999999999999,0.6866265360441661,6.26,7.76,8.36,7.34,7.52
21,7.447999999999999,0.6866265360441661,6.26,7.76,8.36,7.34,7.52
22,7.447999999999999,0.6866265360441661,6.26,7.76,8.36,7.34,7.52
23,7.447999999999999,0.6866265360441661,6.26,7.76,8.36,7.34,7.52
24,7.447999999999999,0.6866265360441661,6.26,7.76,8.36,7.34,7.52
25,7.447999999999999,0.6866265360441661,6.26,7.76,8.36,7.34,7.52
26,7.447999999999999,0.6866265360441661,6.26,7.76,8.36,7.34,7.52
27,7.447999999999999,0.6866265360441661,6.26,7.76,8.36,7.34,7.52
28,7.447999999999999,0.6866265360441661,6.26,7.76,8.36,7.34,7.52
29,7.447999999999999,0.6866265360441661,6.26,7.76,8.36,7.34,7.52
30,7.447999999999999,0.6866265360441661,6.26,7.76,8.36,7.34,7.52
31,7.447999999999999,0.6866265360441661,6.26,7.76,8.36,7.34,7.52
32,7.447999999999999,0.6866265360441661,6.26,7.76,8.36,7.34,7.52
33,7.447999999999999,0.6866265360441661,6.26,7.76,8.36,7.34,7.52
34,7.447999999999999,0.6866265360441661,6.26,7.76,8.36,7.34,7.52
35,7.447999999999999,0.6866265360441661,6.26,7.76,8.36,7.34,7.52
36,7.447999999999999,0.6866265360441661,6.26,7.76,8.36,7.34,7.52
37,7.447999999999999,0.6866265360441661,6.26,7.76,8.36,7.34,7.52
38,7.447999999999999,0.6866265360441661,6.26,7.76,8.36,7.34,7.52
39,7.447999999999999,0.6866265360441661,6.26,7.76,8.36,7.34,7.52
